company_name,homepage_url,recruits_url,has_answer,answer_url,memo,answer_homepage_url
앤비전,https://www.envision.co.kr/ko/main.asp,,TRUE,https://envision.recruiter.co.kr/app/jobnotice/list,,
정보와기술(주),http://www.lgit.co.kr/?,,TRUE,http://www.lgit.co.kr/bbs/board.php?bo_table=hire,,
이노시스아이티,http://www.innosysit.co.kr/,,FALSE,"http://www.innosysit.co.kr/homepage/index.html (특정 채용페이지 없는 회사, 홈피에 정보만 써둠)",,
이노솔루텍,http://www.innost.co.kr/,,TRUE,http://www.innost.co.kr/kor/careers/menu_04.html,,
(주)오션정보기술,http://ocean-it.co.kr/index.html,,TRUE,http://ocean-it.co.kr/people05.html,,
뉴로센스,,,FALSE,,,
아라드네트웍스,https://www.aradnetworks.com/?lang=,,TRUE,https://www.aradnetworks.com/sub/sub0105-2.php,,
소올아이티,http://soarit.net/index.php,,TRUE,http://soarit.net/sub/sub04_03.php,,
진네트웍스,http://jinnetworks.com/,,TRUE,http://jinnetworks.com/about-jin-3/,,
버츄얼드림,http://www.virtualdream.co.kr/index.do,,TRUE,http://www.virtualdream.co.kr/vd.do?menu_id=0501000000,"팝업이 있다 채용으로, (홈페이지에서 바로 http://www.virtualdream.co.kr/index.do) 애매하네...",
JATCOKOREA,http://www.jatco.co.kr/m/main.do,,TRUE,http://recruit.jatco.co.kr/board/recruit.do,,
알피오,http://www.rpio.co.kr/index.php,,TRUE,http://www.rpio.co.kr/pg/bbs/board.php?bo_table=cs01&wr_id=22,찾기 어렵겠다... 공지사항에서 찾아 들어가야 함.,
아이티벨리,,,TRUE,https://www.itballey.com/kor/company/careers.php,,
(주)라코어,,,,,,
(주)이루온,,,TRUE,https://ict-eluon.imweb.me/recruitInfo,,
웨이브글로벌,,,TRUE,https://wave-global.com/recruitment-information.html,,
네오슬론,,,TRUE,http://www.neoslon.com/theme/s007/index/aboutus_05.php,,
(주)YTINS,,,,X,,
주식회사_로노,,,TRUE,https://lono.quv.kr/module/board/read_form.html?bid=tjQ6ek&aid=zlNrNO&pn=customer,게시판 게시글,
제이엘스탠다드,,,,X,,
나인웍스(주),,,,X,,https://9works.kr/
에스지테크놀로지,,,,X,,https://sgt119.com/
머플,,,,https://www.wanted.co.kr/company/42343,원티드,https://www.murple.ai/
카페24,https://www.cafe24.com,,,,,
솔트룩스,https://www.saltlux.com,,,,,
메가존클라우드,https://www.megazone.com,,,,,
메가존,https://www.mz.co.kr,,,,,
더존비즈온,https://www.duzonbizon.com,,,,,
영림원소프트랩,https://www.ylw.co.kr,,,,,
한글과컴퓨터,https://www.hancom.com,,,,,
다우기술,https://www.daou.com,,,,,
다우데이타,https://www.daoudata.co.kr,,,,,
토마토시스템,https://www.tomatosystem.co.kr,,,,,
인프라웨어테크놀러지,https://www.iprocess.co.kr,,,,,
코리아센터,https://www.krcentre.com,,,,,
메가존디지털,https://www.megazonedigital.com,,,,,
엠로,https://www.mro.co.kr,,,,,
아이티센,https://www.itcen.co.kr,,,,,
씨에스텍,https://www.cstek.com,,,,,
비투엔,https://www.b2en.com,,,,,
엑셈,https://www.ex-em.com,,,,,
엔키아,https://www.nkia.co.kr,,,,,
인포바인,https://www.infobine.co.kr,,,,,
케이티클라우드,https://www.ktcloud.com,,,,,
엔에이치엔,https://www.nhn.com,,,,,
NHN클라우드,https://www.nhncloud.com,,,,,
NHN커머스,https://www.nhn-commerce.com,,,,,
비플라이소프트,https://www.bflysoft.com,,,,,
유니닥스,https://www.unidocs.co.kr,,,,,
윈스,https://www.wins21.co.kr,,,,,
인피닉,https://www.infiniq.co.kr,,,,,
에이텍,https://www.atek.co.kr,,,,,
에이치앤씨네트워크,,,,,,
포시에스,https://www.forcs.com,,,,,
유비케어,https://www.ubcare.co.kr,,,,,
인젠트,https://www.ingent.co.kr,,,,,
오픈베이스,https://www.openbase.co.kr,,,,,
플랜티넷,https://www.plentynet.com,,,,,
에스넷시스템,https://www.snet.co.kr,,,,,
링크제니시스,https://www.linkgenesis.co.kr,,,,,
오라컴,,,,,,
엘에스웨어,https://www.lswear.com,,,,,
마크애니,https://www.markany.com,,,,,
이씨티,https://www.ectinc.co.kr,,,,,
가비아,https://www.gabia.com,,,,,
후이즈,https://www.whois.co.kr,,,,,
데이터스트림즈,https://www.datastreams.co.kr,,,,,
위세아이텍,https://www.wiseitech.com,,,,,
이글루코퍼레이션,https://www.igloosec.com,,,,,
아톤,https://www.atoncorp.com,,,,,
라온시큐어,https://www.raonsecure.com,,,,,
소프트캠프,https://www.softcamp.co.kr,,,,,
드림시큐리티,https://www.dreamsecurity.com,,,,,
케이사인,https://www.ksign.com,,,,,
파이오링크,https://www.piolink.com,,,,,
