회사명,대표이사,홈페이지,본사주소,재무현황연도
주식회사 케이스마트피아,오형준,http://www.ksmartpia.com,"대전광역시 유성구 테크노4로 17, 관평동 제6층 제에이603호 (관평동, 비즈센터)",2024
플랙토리 주식회사,김태훈,http://flectory.kr,"경기도 성남시 수정구 창업로 43, C동 1001~1003호 (시흥동)",2024
주식회사 헤론헬스정보시스템,"이기봉, 금웅섭",http://www.heronhis.co.kr,"서울특별시 용산구 한강대로 296, 4,5,6층 (남영동, 참빛빌딩)",2024
윌콘에이아이(주),하정은,https://wilcon.ai/,"경기도 성남시 분당구 서현로180번길 13, 503 (서현동)",2024
주식회사 지에프,권경주,http://,"전라남도 나주시 그린로 370, 4층 402호(빛가람동, 에너지밸리기업개발원) (빛가람동)",2024
주식회사 엔에스아이테크놀로지,이교창,http://www.nsitech.co.kr,"경기도 용인시 수지구 광교중앙로 338, C동 6층 606호 (상현동, 광교우미누브)",2024
도란시스템(주),류순철,http://jumpms.com,"서울특별시 서초구 반포대로 96, 6층(서초동, 석정빌딩)",2024
주식회사 정우,이승은,http://,"전북특별자치도 남원시 동림로 129, 상가동 101호, 102호 (향교동, 중앙하이츠아파트)",2024
주식회사 앤트,전종수,http://,"경기도 고양시 일산동구 고봉로551번길 15, 비동 2층 (성석동)",2024
주식회사 넥스트아이앤아이,류재웅,http://www.nextini.com,"경기 용인시 기흥구 흥덕중앙로 120 (영덕동, 유타워 지식산업센터 1511호)",2024
(주) 이엔에스,안병운,http://www.ens-km.co.kr,경기도 안산시 단원구 범지기로 13 (목내동),2024
주식회사 티엠이앤씨,장정환,http://,"경기도 성남시 중원구 갈마치로 314, 1005호 (상대원동, 센트럴비즈타워)",2024
주식회사 티에스엠테크놀로지,황명식,http://www.tsmtech.co.kr,"경기도 성남시 중원구 갈마치로 302, B동 17층 1705호, 1706호 (상대원동, 성남우림라리온스밸리 5차)",2024
주식회사 신영통신,문승현,http://,"인천광역시 남동구 인주대로888번길 13, 301-1호(만수동,신현대상가)",2024
(주)씨디에스,유지대,www.ecds.co.kr,"강원도 춘천시 동면 금베이길 93-6, ICT융합캠퍼스",2024
주식회사미래정보기술,신동운,http://,강원특별자치도 홍천군 홍천읍 갈마로 77,2024
헬스클라우드(주) ,임태호,http://h-cloud.co.kr,"강원특별자치도 원주시 혁신로 19, A동 7층 708호 (반곡동, H타워)",2024
주식회사 위즈컨,박정수,http://,"서울특별시 마포구 만리재로 83, 12층 1201호 (공덕동, 나경빌딩)",2024
(주)맨텍솔루션,"김형일, 김윤원",http://www.mantech.co.kr,"서울특별시 성동구 성수일로4길 25, 12층(성수동2가, 서울숲코오롱디지털타워)",2024
(주)제이엔이웍스,홍의석,http://,"경상남도 창원시 성산구 전기의길 10, 103호(성주동)",2023
주식회사 공간의파티,강진규,https://tspxr.com,"서울특별시 노원구 석계로18길 23, 310호 (월계동, 삼능스페이스향)",2024
주식회사 콜리전스,"주민수, 김륜희",http://,"경기도 성남시 분당구 황새울로200번길 28, 1104-11호 (수내동)",2024
(주)포인랩,김창순,http://4inlab.ai,"경상남도 창원시 마산합포구 3·15대로 298, 203호 (서성동)",2024
주식회사 서브,남규태,http://,"서울특별시 송파구 충민로 52, 7층 비512,비717,비718(문정동, 가든파이브웍스)",2024
주식회사 케이컴포짓랩,박재효,http://,"서울특별시 강서구 마곡중앙6로 42, 12층 1214호 (마곡동, 사이언스타) ",2024
주식회사 감동스토리,강현일,http://,"부산광역시 금정구 개좌로 15, 3층 (서동)",2024
주식회사 글로브임펙트,조중호,http://globeimpact.co.kr,"부산광역시 부산진구 부전로 29, 2층 (부전동, KT&G부산부전지사)",2024
주식회사 위드시큐리티,주용식,http://www.withsecurity.co.kr,"서울특별시 구로구 디지털로33길 28, 2층 209호(구로동, 우림이비지센타)",2024
(주)위로드,윤성숙,http://www.weroad.kr,"서울특별시 금천구 가산디지털1로 5, 대륭테크노타운20차 914호 (가산동)",2024
주식회사 윈스테크넷,김보연,http://www.wins21.co.kr,"경기도 성남시 분당구 판교로228번길 15, 윈스테크넷동 (삼평동, 판교세븐벤처밸리 1)",2024
분더페이스 어소시에이츠,전성현,http://wunderface.com,"서울특별시 영등포구 국제금융로 10, THREE IFC 43층 (여의도동)",2024
(주)스페이스인터,고창식,http://,"경기도 부천시 소사구 서촌로44번길 7-15, 1층 102호 (송내동)",2024
부천대학교 산학협력단,이종성,https://dept.bc.ac.kr/home/index.do,"경기도 부천시 원미구 신흥로 56번길 25(심곡동, 부천대학)",2024
주식회사 우명기전,여혜숙,http://,강원도 화천군 화천읍 산수화로 14,2024
주식회사 딥아이,김종원,www.deep-i.ai,"충청남도 아산시 신창면 순천향로 22, 앙뜨레프레너관 E404호",2024
(주)대한네트웍,심점구,http://,전라남도 장성군 진원면 청용길 65-6,2024
로앤컴퍼니,김본환,https://superlawyer.co.kr/,"서울특별시 강남구 테헤란로 420, 19층 (대치동)",2024
주식회사 우명이엔씨,정희숙,http://,"경기도 화성시 팔탄면 밤뒤길42번길 102, A동 102호",2024
가니 주식회사,전상수,http://www.gani.kr,"경기도 성남시 수정구 청계산로 686, 6층 634호(고등동, 반도아이비벨리) ",2024
(주)픽스유,박은혜,http://fixu.kr,"서울특별시 강남구 논현로 404, 4층 3-1호 (역삼동, 정안빌딩)",2024
주식회사 어반플레이,홍주석,http://www.urbanplay.co.kr,"서울특별시 서대문구 연희로5길 22, 2~3층 (연희동)",2024
주식회사 엔지엔테크 (NGN Tech),문용덕,http://www.ngntech.co.kr,"서울특별시 마포구 만리재로 14, 2110호 (공덕동, 르네상스타워)",2024
(주)에버에듀시스템,홍재선,http://www.averedusysten.co.kr,"서울특별시 마포구 만리재로 15, 8층 810호 (공덕동, 제일빌딩) ",2024
주식회사 케파스,주성돈,http://www.kephas.kr,"서울특별시 강남구 논현로38길 32-3, 2층 (도곡동, 한국통신학회)",2024
주식회사 토브넷,김찬영,http://ww.tovnet.co.kr,"경기도 고양시 덕양구 청초로 10, A동 9층 AB09-0901호(덕은동, GL메트로시티 한강지식산업센터)",2024
주식회사 다나솔루션,김행석,http://,"서울특별시 마포구 마포대로 127, 617호(공덕동, 풍림브이아이피텔)",2024
디오아이오티(DoIoT),도정암,http://doiot.co.kr,"경기도 용인시 기흥구 중부대로 184, A동 317-2호 (영덕동, 힉스유타워)",2024
"주식회사 헬셀(Helsel Co., Ltd)",장성기,http://helsel.co.kr,"경기도 하남시 미사대로 520, 디에이동 323,324,325호(덕풍동, 현대지식산업센터 한강미사2차) ",2024
(주)쏘텍,정성남,http://,"광주광역시 남구 금당로1번안길 4, 1층 (진월동)",2024
주식회사 더앤,오은주,http://,"광주광역시 북구 첨단연신로 284, 1623호 (연제동, 산업시설동)",2024
(주)커스토,김도원,http://,"서울특별시 금천구 가산디지털2로 123, 6층 612호 (가산동)",2024
주식회사 아올시스템,윤석준,http://aolsystem.co.kr,"경기도 군포시 엘에스로166번길 16-1, 204호 (금정동)",2024
"주식회사 에이치케이 (HK Co., Ltd.)",장해각,http://www.hktel.co.kr,"서울특별시 금천구 가산디지털1로 145, 316호(가산동, 에이스하이엔드타워3차)",2024
넥서스 주식회사,조성연,http://,"경기도 성남시 분당구 정자일로 177, B동 805호 (정자동)",2024
(주)이지패스,김영배,http://entosystem.co.kr,"경기도 성남시 중원구 사기막골로62번길 33, 엔터엠 에프916호 (상대원동)",2024
주식회사 시에라베이스,김송현,http://www.sierrabase.co.kr,"세종특별자치시 나성북1로 22, 5층, 503-R557호 (나성동)",2024
주식회사 아치서울,"박세환, 최유미",www.handorder.com,"서울특별시 성동구 상원12길 23, 2층(성수동1가)",2024
유엔젤주식회사,유지원,http://www.uangel.com,경기도 성남시 분당구 황새울로240번길 3 (수내동),2024
(주)스프링웨이브,이이철,www.springwave.co.kr,"경기도 성남시 분당구 황새울로258번길 10-3, 2층(수내동, 대창빌딩)",2024
주식회사 대덕시스템,정영선,http://www.devsys.co.kr,"부산광역시 남구 수영로 312, 811호/812호(대연동, 21 센츄리시티 오피스텔) ",2024
주식회사 유수,박만식,http://,강원도 원주시 화실유암길 229-14 (행구동),2024
주식회사 지오통신,"김홍식,강선철",http://,"전라남도 나주시 교육길 13, 비동 302호(빛가람동,스마트파크 지식산업센터)",2024
주식회사 케이엠시스템,김은경,http://kemsystem.co.kr,"대구광역시 동구 이노밸리로36길 19, 203호 (각산동)",2024
주식회사 더아이케이,조한,https://theikinc.com/,"서울특별시 강남구 선릉로 511, 8층 811호 (역삼동)",2024
프라이빗테크놀로지 주식회사,김영랑,www.pribit.com,"서울특별시 마포구 양화로8길 32-16 (서교동, 314빌딩)",2024
주식회사 온프라,장미나,http://,"충청남도 아산시 신창면 순천향로 22, 306(순천향대학교)",2024
(주)이스트소프트,정상원,https://www.estsoft.ai/,"서울특별시 서초구 반포대로 3, 이스트빌딩 (서초동)",2024
유투소프트 주식회사,주영근,http://www.u2soft.co.kr,"서울특별시 송파구 백제고분로 501, 1402, 1403호(방이동, 청호빌딩)",2024
신화통신(주),이미정,http://,"전라남도 영암군 삼호읍 대불산단6로 317, 2층",2024
(주)코드원시스템,조석홍,http://www.code1system.com,"서울특별시 송파구 법원로8길 7, 801호 (문정동, 화엄타워)",2024
지오랩스(주),김성학,http://http://geolabs.co.kr/,"경기도 김포시 김포한강10로133번길 127, 2층 엠203호~엠206호 (구래동, 디원시티지식산업센터)",2024
(주)케이아이티원,"김대권, 윤은주",http://www.kit1.kr,"인천광역시 연수구 인천타워대로 323, A동  31층 에스71호 (송도동, 송도 센트로드)",2024
주식회사 유니크리에이트,한명곤,http://,"서울특별시 영등포구 선유로9길 10, 514호 (문래동6가)",2024
주식회사 아이티블럭,배경원,http://,"서울특별시 영등포구 선유로49길 23, 4층 407호 (양평동4가,선유도역2차아이에스비즈타워)",2024
주식회사 나누고,박대철,http://nanugo.kr,"서울특별시 영등포구 버드나루로 88, 13층 (영등포동7가, 인따르시아사옥)",2024
주식회사 미래엔,배춘선,http://www.mirae-en.co.kr,"대전광역시 유성구 테크노4로 17, D동 4층 403호 (관평동, 대덕비즈센터)",2024
알티피코리아주식회사,이영렬,http://www.rtpkorea.com,"대전광역시 유성구 테크노2로 199, 미건테크노월드1 209호 (용산동)",2024
일광전설(주),"이제생, 이성집",http://,충청남도 천안시동남구 풍세면 미죽로 370,2024
제이비 주식회사,"김영석, 우재화",https://www.jbcorporation.com/,충청남도 아산시 음봉면 산동안길 14,2024
(주)지란지교소프트,박승애,www.jiransoft.com,"대전광역시 유성구 테크노중앙로 74, 201호 (관평동, 신영빌딩)",2024
한울 주식회사,"이주형, 이영예 (각자대표)",www.hanwol.co.kr,"경기도 광명시 새빛공원로 67, A동 628호, 629호 (일직동, 자이타워)",2024
주식회사 유디엠텍,왕지남,http://,"경기도 수원시 영통구 창룡대로256번길 91, 14층 1405, 1406, 1407, 1408호 (이의동, 에이스광교타워2)",2024
(주)하나엔지니어링,조창희,http://,"경기도 안양시 동안구 벌말로118번길 32, 5층 (관양동, 디담빌딩)",2024
(주)아이에스엘,오정석,http://www.ilshininfo.net,"경기도 수원시 영통구 신원로 88 101-608(신동,디지털엠파이어2)",2024
주식회사 지오그레이트,이재성,http://www.gogreat.co.kr,"서울특별시 강서구 양천로 551-24, 607호 (가양동, 한화비즈메트로2차)",2024
(주)세기사,정택철,http://,충청남도 금산군 추부면 금산로 2290,2024
오조씨엔에스(주),송준의,http://www.ojcns.co.kr/,"대전광역시 유성구 학하동로64번길 12, 1층, 2층 (학하동)",2024
(주) 중부기술단,김태동,http://,대전광역시 동구 동서대로 1647 (용전동),2024
주식회사 옴니테크,임미정,http://,인천광역시 강화군 길상면 해안남로 9,2024
주식회사 매직에꼴,최재규,http://magicecole.com,"서울특별시 성동구 성수일로10길 26, 1505호 (성수동2가, 하우스디 세종타워)",2024
(주)홍커뮤니케이션즈,"민귀홍, 박상호",http://www.hongcomm.com,대전광역시 유성구 가정로 310-14(도룡동),2024
비앤아이(주),김동진,bnicompany.com,"충청북도 청주시 청원구 오창읍 각리1길 97, 충북SW지원센터 내",2024
이손이엔엘(주),이진필,www.e-son.co.kr,"충청북도 청주시 청원구 오창읍 중심상업로 27, 804호",2024
(주)조양,조용상,http://www.cygv.com,"경기도 남양주시 화도읍 비룡로 125, 402-1호",2024
주식회사 엔하스,임영복,http://,"충청남도 태안군 태안읍 원이로 341-13, 1층",2024
주식회사 두원이엔지,이병순,http://,"세종특별자치시 전동면 운주산로 582, ,2층",2024
주식회사 헥코리아,이경도,http://hecorea.co.kr,"경기도 수원시 영통구 광교중앙로 170, 506호 (하동)",2024
주식회사 세윤씨앤에스,이방희,www.sycns.com,"경기도 과천시 과천대로7길 33, B동 502호 (갈현동, 디 테크 타워 과천)",2024
이주씨스템(주),이복균,www.leejoo.co.kr,"서울특별시 영등포구 가마산로90길 22, 2층 (신길동)",2024
(주)베스타시스템,정윤경,http://www.vestasystem.co.kr,"서울특별시 송파구 법원로9길 26, C동 314호 (문정동 에이치비지니스파크)",2024
주식회사 이지컨설팅,홍세린,http://,"경기도 고양시 덕양구 꽃마을로 64, 12층 1224호 (향동동, DMC스타허브플러스)",2024
주식회사 엑스큐시스템,이기영,http://www.xcue.co.kr,경기도 광명시 가락골길 47-29(노온사동),2024
주식회사 유심테크,임영민,http://,"전북특별자치도 전주시 덕진구 사평로 11, 2동 (덕진동1가)",2024
서울텔엔지니어링(주),정영철,www.seoulteleng.co.kr,"서울특별시 강남구 강남대로54길 15, 3층 (도곡동)",2024
주식회사 위드정보,장인철,http://www.withinfo.co.kr,"서울특별시 영등포구 양평로22길 21, 8층 806호(양평동5가, 선유도코오롱디지털타워)",2024
주식회사 세이어바웃,이재연,https://www.editsay.com / https://www.videocookie.shop,"서울특별시 구로구 디지털로26길 43, 알동 1506호(구로동,대륭포스트8차) ",2024
(주)디엠티랩스,JIN YUN,https://www.dmtlabs.co.kr/,"서울특별시 용산구 한강대로40길 18, 4층 404호 (한강로2가, 다이빌딩)",2024
주식회사 비주얼캠프,석윤찬,http://www.visual.camp,"서울특별시 서초구 동산로 13, 6층 601호 (양재동, 정선빌딩)",2024
주식회사 닷(dot incorporation),"김주윤, 성기광",https://www.dotincorp.com/kr/,"서울특별시 금천구 가산디지털1로 146, 401호~405호 (가산동, 대륭테크노타운22차)",2024
주식회사 플랜바이테크놀로지스,노현섭,http://,"서울특별시 강남구 테헤란로 217, 2층 (역삼동)",2024
주식회사 태진솔루션,최수환,http://,"경기도 용인시 수지구 포은대로59번길 37, 시그니처광교 603호 (상현동)",2024
(주)아이더블유네트웍스,김형욱,http://www.iwnetworks.co.kr,"서울특별시 금천구 가산디지털1로 168, B동 1410호 (가산동, 우림라이온스밸리)",2024
국제데이타시스템(주),황현두,http://www.kukjaedata.com,경기도 남양주시 화도읍 수레로1092번길 19-81,2024
주식회사 에이티지,"김민정,설종배",http://www.atgit.co.kr,"부산광역시 해운대구 센텀서로 39, 1004호 (우동, 영상산업센터)",2024
주식회사 씨엔에스,유아름,http://,충청남도 청양군 화성면 금계동길 11-8,2024
(주)컴베이,김흥구,http://,"경기도 성남시 분당구 대왕판교로 670, B동 904호 (삼평동)",2024
(주)인피니트몽키즈,나인채,http://infmon.im,"서울특별시 광진구 능동로 195-16, 4층, 419호(세종대학교 서울시캠퍼스타운) (군자동)",2024
서원기술공사(주),전경순,http://,"충청북도 청주시 상당구 쇠내로 48, 301동 206호(금천동, 청주금천센트럴파크스타힐스)",2024
주식회사 오솔정보기술,조효성,http://www.osolit.net,"대전광역시 대덕구 대화로106번길 66, 11층 1102호(대화동, 펜타플렉스) ",2024
아라정보기술,이주영,http://,전라남도 장흥군 장흥읍 남부관광로 73,2024
주식회사 에버비젼,조광종,www.evervision.co.kr,"경기도 고양시 덕양구 삼원로 63, 708호(원흥동,고양 아크비즈 지식산업센터)",2024
(주)제이엔테크,김균,http://,"광주광역시 북구 서양로 56, 113동 204호(중흥동, 모아타운상가) ",2024
주식회사 국민산업,손세현,http://,전라남도 나주시 금천면 고안길 24-12,2024
엔키노 주식회사,성기범,http://www.enkino.com,"경기도 안양시 동안구 시민대로 187, 안양건설타워 1006호 (비산동)",2024
주식회사 엠스텍,김동현,http://www.mstech-one.com,"서울특별시 금천구 벚꽃로 278, 812호 (가산동,에스제이테크노빌)",2024
주식회사 코어소프트,소순주,http://www.coresoft.co.kr,"서울특별시 금천구 두산로 70, 에이동 2601호(독산동,현대지식산업센터)",2024
주식회사 이지시큐어,오영철,http://,"제주특별자치도 제주시 중앙로 217, 601호 (이도이동, 제주벤처마루)",2024
(주)에어미디어,김승목,http://www.airmedia.co.kr,"서울특별시 성동구 성수일로8길 5 1509호(성수동2가,서울숲에스케이브이1타워)",2024
주식회사 신화이엔씨,손영님,http://,"광주광역시 서구 대남대로487번길 21-1, 2층 (농성동)",2024
주식회사 예인정보통신,김윤창,http://,"서울특별시 광진구 아차산로 345, 2층 218호 (자양동, 래미안프리미어팰리스)",2024
주식회사 국민,윤풍식,http://,전라남도 완도군 신지면 해양치유길 230,2024
대한시스템(유),이미영,http://,광주광역시 서구 상무시민로 103 (치평동),2024
(주)전통,"김현수, 김대균",www.jttel.com,전라남도 나주시 영강길 15 (삼영동),2024
주식회사 성산씨엔에스,이현자,http://www.sscns.net,"광주광역시 서구 대남대로 465 (농성동, 503호)",2024
주식회사 조은안전,김진아,http://,"울산광역시 남구 화합로102번길 11-6, 1층 (삼산동)",2024
(주)서정아이씨티,"서승환, 정효석",http://www.sjict.co.kr,"충청남도 천안시 동남구 신촌4로 23-3, 2층 (신방동, 영창빌딩)",2024
주식회사요망진연구소,최성기,http://ymjlab.com/,"제주특별자치도 제주시 동문로14길 3, 1층 (일도이동)",2024
(주)상정이엔지,이혜영,http://,"충청북도 청주시 흥덕구 풍년로 32, 404호(가경동)",2024
(주)하이브마인드,김동욱,http://www.hive-mind.kr,"서울특별시 마포구 양화로6길 9-20, 4층 (서교동, 카메오빌딩)",2024
주식회사 앤드텍,임미경,http://,"울산광역시 중구 동천1길 40, 씨동 1001호 (서동, 세영이노세븐 지식산업센터)",2024
주식회사 산우아이에스,권영철,http://www.sanwoois.com,"서울특별시 강남구 선릉로92길 28, 4층 4275(삼성동,강인빌딩)",2024
(유)서원정보통신,이용호,http://,"전북특별자치도 전주시 덕진구 아중천변2길 9, (유)서원정보통신 (우아동3가)",2024
주식회사 사조기술단,"박민영,하연호",http://,강원도 춘천시 동내면 장안길 23-9,2024
(주)클라모스,김용택,http://www.clamos.io,"서울특별시 구로구 디지털로 242, 7층 708호, 709호 (구로동, 한화비즈메트로1차)",2024
주식회사 슈프리마,"이재원, 김한철",http://www.supremainc.com/,"경기도 성남시 분당구 정자일로 248, 17층 5호 (정자동, 파크뷰오피스타워)",2024
서림정보통신 주식회사,장온정,www.seolimict.co.kr,"세종특별자치시 집현중앙7로 6, B1108호 (집현동, 지식산업센터)",2024
주식회사 유원씨앤씨,김유화,http://,"경기도 용인시 처인구 포곡로 32, 3층 (유방동)",2024
위드시스,박수완,http://,"경기도 포천시 소흘읍 초가팔로 49-33, 나동 2층",2024
세진정보주식회사,김은경,http://,충청남도 공주시 반포면 수실2길 34,2024
(주) 학술정보,오수민,http://,"서울특별시 금천구 가산디지털1로 145,8층 801호 (가산동, 에이스하이엔드타워3차)",2024
코위버(주),황인환,http://www.coweaver.co.kr,서울특별시 강서구 마곡중앙8로7길 45 (마곡동),2024
(주)원지리정보,우종배,onegis.com,"인천광역시 부평구 부평대로 301, 617호 (청천동, 남광센트렉스)",2024
(주)퓨즈,허재남,www.fuz.co.kr,"서울특별시 강남구 역삼로17길 37, 퓨즈이노베이션빌딩 5층,6층(역삼동)",2024
(주)더조인,이명호,http://,"서울특별시 강남구 봉은사로30길 63, 3층 (역삼동, 영신빌딩)",2024
(주)대원정보통신,최수정,http://dwit17@hanmail.net,"부산광역시 서구 충무대로149번다길 13-1, 1층 (남부민동)",2024
케이이음 유한회사,윤승현,https://theeum.com,"서울특별시 금천구 가산디지털1로 168, 제씨동 4층 402호 (가산동, 우림라이온스밸리)",2024
주식회사 빅밸류,"구름, 이병욱",http://bigvalue.co.kr,"대구광역시 북구 호암로 51, 207호-210호(침산동, 메이커스페이스동)",2024
주식회사태영정보,배인상,http://www.tycctv.co.kr,대구광역시 동구 팔공로45길 22 (봉무동),2024
(주)세종통신,조성란,http://,세종특별자치시 조치원읍 문화2길 10(1층),2024
(주)고운정보통신,고영화,http://,대구광역시 서구 평리로21길 46-1 (중리동),2024
주식회사 토페스,이강본,www.topes.com,경기도 남양주시 화도읍 녹촌로106번길 31,2024
세움기술 주식회사,주익중,http://,"서울특별시 강동구 성안로 183, 602호 (천호동, 명인빌딩)",2024
(주)케이앤엘솔루션,이종필,http://www.knl.kr,"서울특별시 광진구 아차산로 345, 101동 316,317호 (자양동, 래미안프리미어팰리스)",2024
주식회사 장인의공간,정해성,http://www.masterspace.co.kr,"경기도 광명시 일직로 43, 에이동 2612호, 2313호(일직동)",2024
테크메이트,최재광,http://,"경기도 화성시 동탄대로시범길 19, 1401동 603호 (청계동, 동탄역 시범 더샵 센트럴시티)",2024
체인팜 주식회사,신민하,http://www.chainfarm.co.kr,"인천광역시 연수구 인천타워대로 323, 비동 30층 브이782호 (송도동)",2024
 주식회사 에스오티글로벌,강준모,http://www.sotg.co.kr,"서울특별시 금천구 디지털로 121, 506호 (가산동, 에이스가산타워)",2024
에스디 유한책임회사,장은경,http://521-8181.com,"인천광역시 부평구 경원대로 1420, 제2호 3층 (부평동)",2024
(주)진소프트,김혜경,http://,"경기도 구리시 건원대로34번길 9, 603호(인창동, 세신리빙)",2024
주식회사 이노티움,이형택,http://www.innotium.com,"서울특별시 구로구 디지털로33길 55, 501호, 502호(구로동, 이앤씨벤처드림타워2차) ",2024
지성정보 주식회사,"정진모, 이수호",http://www.jisunginfo.com,"서울특별시 구로구 디지털로31길 61, 207호 (구로동, 신세계아이앤씨 디지털샌타 2층)",2024
(주)다누아이앤티,고대선,www.danuint.com,"서울특별시 성동구 아차산로15길 52, 705호 (성수동2가, 삼환디지털벤처타워)",2024
주식회사 아이티에스엠,봉상섭,http://www.it-sm.co.kr,"서울특별시 구로구 디지털로 272, 212호(구로동, 한신아이티타워)",2024
(주)테크윈시스템,김래진,http://www.techwins.com,"경기도 성남시 중원구 둔촌대로 474, 913호 (상대원동, 선택시티)",2024
(주)주경,이철수,http://www.jookyeong.com/,충청남도 부여군 장암면 마정로 348,2024
씨티I&I (주),김덕제,http://www.cityini.com,"서울특별시 성동구 성수이로7길 27, 508호(성수동2가, 서울숲코오롱디지털타워2차 5층)",2024
(주) 홍남테크,김홍길,http://,"서울특별시 광진구 뚝섬로 535, B1층 (자양동, 태양빌딩)",2024
(주)노르마,정현철,http://www.norma.co.kr,"서울특별시 성동구 아차산로15길 52, 2층 202, 203호(성수동2가, 삼환디지털벤처타워)",2024
주식회사 아크데이타,채영우,http://www.iarkdata.com,"대구광역시 수성구 알파시티1로 232, 5층(대흥동)",2024
(주)애드캡슐소프트,정희현,www.adcapsule.kr,"서울특별시 서초구 동광로12길 84, 성산관 4층 (방배동)",2024
아람이엔씨(주),김태동,http://,"대구광역시 북구 호국로51길 5-13, 3층(서변동, 동진빌딩)",2024
팁스밸리 (주),박상근,http://www.tipsvalley.co.kr,"서울특별시 금천구 가산디지털2로 70, 5층 514호(가산동,대륭테크노타운19차)",2024
주식회사 아름누리메디컴,김영화,http://liss.co.kr,"경기도 용인시 수지구 신수로 767, 에이동 610호, 611호(동천동,분당수지유타워 지식산업센터) ",2024
엠투엠글로벌(주),김승원,www.m2mglobal.co.kr,"서울특별시 영등포구 영등포로 150, 비동 15층 1509호 (당산동1가, 생각공장 당산)",2024
(주)레이풀시스템,"이우섭, 공석용",http://www.rayful.com,"경기도 과천시 과천대로7길 33, A동 1107호(갈현동,디테크타워) (갈현동)",2024
(주)테르텐,이원곡,http://www.teruten.com,"서울특별시 구로구 디지털로26길 61, 602호(구로동,에이스하이엔드타워2차) ",2024
(주)시스윙,김성민,www.syswing.com,"서울특별시 동대문구 회기로 149 (회기동,대창빌딩3층)",2024
주식회사 로이드케이,김대훈,http://www.lloydk.co.kr,"경기도 성남시 수정구 위례서일로 6, 203호 (창곡동)",2024
주식회사 에이비웍스,최민석,http://,"서울특별시 강남구 강남대로126길 30, 606호 (논현동, 스퀘어146)",2024
제이에스미디어,임영숙,http://,"서울특별시 구로구 부광로 96-5, 4층 427호(항동, 구로에이스캠프)",2024
주식회사 코드넛,"안성환, 양승환",http://codnut.com,"충청남도 천안시 서북구 천안천4길 32, (와촌동, 그린스타트업타운 공유오피스) ",2024
(주)미니게이트,정훈,http://www.minigate.net,서울특별시 강남구 논현로 140길 30 (논현동),2024
주식회사 피에스콤,최정환,http://pscom.co.kr,"서울특별시 영등포구 양평로22길 21, 604호 (양평동5가, 선유도 코오롱디지털타워)",2024
(주) 아이에스에프넷코리아,허옥인,http://isfnetkorea.com,"서울특별시 강남구 봉은사로 211, 7층(논현동. 그림바우빌딩) ",2024
주식회사 에스앤피,김유미,http://,"경기도 안산시 상록구 샘골로 136, 2층 204호 -166(본오동)",2024
주식회사 지니웍스,이앙,http://genieworks.net,"서울특별시 강남구 논현로 653, 2층 (논현동)",2024
주식회사 사람누리,김근회,http://,"서울특별시 금천구 가산디지털1로 5, 1010호 (가산동, 대륭테크노타운 20차)",2024
주식회사 센투스,노현석,http://centus.co.kr,"서울특별시 영등포구 여의대방로65길 23, 401호 (여의도동)",2024
주식회사 메가텔,전광찬,http://,인천광역시 계양구 서운산업로47번길 17-1 (서운동),2024
(주)더나인스,공경숙,http://,"울산광역시 북구 매곡산업로 35, 1인 기업 육성실 009호 (매곡동, 자동차부품기술연구소)",2024
주식회사 인시스템,이근익,http://www.insystem.kr,"부산광역시 부산진구 범일로 176, 4층 408호 (범천동, 부산범일로얄팰리스)",2024
주식회사 구상,이성욱,http://www.goosang.co.kr,"서울특별시 서초구 남부순환로339길 47-1, 401호 (서초동, 현우빌딩)",2024
(주)광일정보시스템,박은주,http://,부산광역시 사상구 사상로417번길 33 (모라동),2024
주식회사 더모모스,정세민,http://www.themomos.co.kr,경상남도 밀양시 하남읍 양동농공단지길 10,2024
주식회사 피플앤미래정보기술,김태경,http://,부산광역시 사상구 사상로447번길 41 (모라동),2024
(주)에버스톤,최경욱,http://www.evst.co.kr,"부산광역시 해운대구 수영강변대로 140, 613호 (우동, 부산문화콘텐츠콤플렉스)",2024
주식회사 포앤텍,임광춘,http://,"부산광역시 금정구 개좌로 15 (서동,B)",2024
주식회사 클라비,안인구,http://www.clabi.co.kr,"서울특별시 송파구 법원로 114, 비동 1108호(문정동, 엠스테이트)",2024
주식회사 더베어컴퍼니,조성대,http://www.thebearcompany.co.kr/,"서울특별시 서초구 나루터로12길 18, 3층 (잠원동, 수인빌딩)",2024
(주)토탈소프트뱅크,최장수,http://www.tsb.co.kr,부산광역시 해운대구 반송로513번길 66-39 (석대동),2024
주식회사 케이맵,김준성,http://www.kmap.kr,"경기도 평택시 평택5로34번길 43-8, 1동 1층 101호 (합정동, 펠리스빌딩)",2024
좋은차닷컴(주),남준희,http://,"서울특별시 구로구 디지털로31길 20, 1107호 (구로동, 에이스테크노타워5차)",2024
(주)미디어스페이스,정병하,www.mediaspace.co.kr,"서울특별시 강서구 양천로 583, B동 1008호(염창동,우림블루나인비즈니스센터)",2024
(주)엠투소프트,전승민,www.m2soft.co.kr,"서울특별시 성동구 성수이로7길 27(성수동2가, 서울숲코오롱디지털타워2차 7층)",2024
주식회사 앤네트웍스,김미경,http://,"경상남도 창원시 마산회원구 봉암공단로 6, 109호(봉암동, 산업용재공구상가) (봉암동, 마산산업용재백화점)",2024
